3600202	NUTRITION         	2  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1500	CUP13	712  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3646717	INNO MGT NUR ORG  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	33 	16/01/2559 20:00
3646717	INNO MGT NUR ORG  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	19 	16/01/2559 20:00
3646811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	WKB12	IA   	STAFF                        	                    	                    	                    	150	16/01/2559 20:00
3647520	ADV PED NUR I     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647520	ADV PED NUR I     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647521	PR ADV PED NUR I  	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	15 	16/01/2559 20:00
3647521	PR ADV PED NUR I  	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647522	ADV PED NUR II    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	CUP13	807  	STAFF                        	                    	                    	                    	15 	16/01/2559 20:00
3647522	ADV PED NUR II    	3  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647523	PR ADV PED NUR II 	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647524	ADV AD NUR I      	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647524	ADV AD NUR I      	3  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	TH	  	  	  	  	  	  	1300-1700	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	FR	  	  	  	  	  	  	0800-1600	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	TH	  	  	  	  	  	  	1300-1700	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	FR	  	  	  	  	  	  	0800-1600	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	3  	CLIN 	TH	  	  	  	  	  	  	1300-1700	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	3  	CLIN 	FR	  	  	  	  	  	  	0800-1600	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647525	PR ADV AD NUR I   	3  	                                                                                	          	         	          	TDF      	4  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647526	ADV AD NUR II     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	CUP13	708  	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647526	ADV AD NUR II     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	WE	  	  	  	  	  	  	0900-1200	WKB12	AR   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647526	ADV AD NUR II     	3  	                                                                                	          	         	          	TDF      	3  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647527	PR ADV AD NUR II  	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647528	ADV GER NUR I     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647528	ADV GER NUR I     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647529	PR ADV GER NUR I  	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	TH	  	  	  	  	  	  	1300-1700	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647529	PR ADV GER NUR I  	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	FR	  	  	  	  	  	  	0800-1600	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647529	PR ADV GER NUR I  	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647530	ADV GER NUR II    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	CUP13	808  	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647530	ADV GER NUR II    	3  	                                                                                	          	         	          	TDF      	2  	LECT 	WE	  	  	  	  	  	  	0900-1200	CUP13	810  	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647531	PR ADV GER NUR II 	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647536	HEALTH PROMOTION  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1500	CUP13	708  	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647536	HEALTH PROMOTION  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647539	NURS CARE DEL SYS 	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647543	ADV NUR CH PROB   	2  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	814  	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647544	PRAC ADV PED NUR  	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647545	ADV NUR AD CRIT   	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647546	AD HLTH ASSMT     	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647546	AD HLTH ASSMT     	2  	                                                                                	          	         	          	TDF      	1  	PRAC 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647547	AD PATH PHARM     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647548	ADV NUR AD CHRON  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	709  	STAFF                        	                    	                    	                    	26 	16/01/2559 20:00
3647548	ADV NUR AD CHRON  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1000-1200	     	AR   	STAFF                        	                    	                    	                    	1  	16/01/2559 20:00
3647549	PRAC ADV AD NUR   	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	26 	16/01/2559 20:00
3647549	PRAC ADV AD NUR   	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647549	PRAC ADV AD NUR   	3  	                                                                                	          	         	          	TDF      	3  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647549	PRAC ADV AD NUR   	3  	                                                                                	          	         	          	TDF      	4  	CLIN 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	6  	16/01/2559 20:00
3647553	ADV NUR ELD PROB  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	815  	STAFF                        	                    	                    	                    	12 	16/01/2559 20:00
3647553	ADV NUR ELD PROB  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	5  	16/01/2559 20:00
3647554	PRAC ADV GERON NUR	3  	                                                                                	          	         	          	TDF      	1  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	12 	16/01/2559 20:00
3647554	PRAC ADV GERON NUR	3  	                                                                                	          	         	          	TDF      	2  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	4  	16/01/2559 20:00
3647554	PRAC ADV GERON NUR	3  	                                                                                	          	         	          	TDF      	3  	CLIN 	FR	  	  	  	  	  	  	0800-1700	     	AR   	STAFF                        	                    	                    	                    	4  	16/01/2559 20:00
3647801	NUR THEO DEV      	2  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1000-1200	     	AR   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647801	NUR THEO DEV      	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	708  	STAFF                        	                    	                    	                    	25 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	709  	STAFF                        	                    	                    	                    	25 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	3  	LECT 	TH	  	  	  	  	  	  	1000-1200	CUP13	807  	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	4  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	8  	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	5  	LECT 	AR	  	  	  	  	  	  	AR-AR    	CUP5N	202  	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	6  	LECT 	AR	  	  	  	  	  	  	AR-AR    	CUP5N	203/1	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	7  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	33 	16/01/2559 20:00
3647802	HLTH DEL SYS POL  	2  	                                                                                	          	         	          	TDF      	8  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	19 	16/01/2559 20:00
3647806	NUR RES SEM       	2  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	0800-1000	WKB12	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647807	ADV HLTH ASSESS   	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647807	ADV HLTH ASSESS   	2  	                                                                                	          	         	          	TDF      	1  	PRAC 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647808	ROLE DEV ADV APN  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647808	ROLE DEV ADV APN  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647809	PATH PHARM APN    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3647811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	BSB  	AR   	STAFF                        	                    	                    	                    	300	16/01/2559 20:00
3647828	DISSERTATION      	48 	                                                                                	          	         	          	TDF      	1  	IDPS 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3647830	PHIL NUR SCI DEV  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647831	ADV NUR RES DSGN  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647833	STATE NUR SCI     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647835	SEL TOP QUAL RES  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3647837	CONT ISS POL SYS  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647839	ADV QUAL RES NUR  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647840	ADV STAT NUR RES  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647843	SEL TOP QUAL RES  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3647894	DOC DISSERT SEM   	0  	                                                                                	          	         	          	TDF      	1  	SMNA 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3647897	QUALIFYING EXAM   	0  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3648811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3649509	TCH LERN NUR      	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	CUP13	808  	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3649811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	WKB12	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
