2000501,CON PDG PEACE CONF,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CHULA,AR   ,STAFF                        ,06 JAN - 12 FEB 59  ,                    ,                    ,21 ,16/01/2559 20:00
2008811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,1800-2100,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2008896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2009502,SL/HZW MGT        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,4 MAR - 28 MAR 56   ,                    ,                    ,60 ,16/01/2559 20:00
2009503,RM ENV MGT        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,FEB 2014            ,                    ,                    ,60 ,16/01/2559 20:00
2009504,SEMINAR I         ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,FR,  ,  ,  ,  ,  ,  ,0900-1200,IN2ER,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009509,SITE REMEDIATION  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,IN2ER,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009512,ENV RISK ASSESS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,6 - 17 JAN 2014     ,20 - 31 JAN 2014    ,                    ,55 ,16/01/2559 20:00
2009516,SPEC TOP ENV MGT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,3 - 28 MAR 2014     ,                    ,                    ,60 ,16/01/2559 20:00
2009517,ENV QLTY MODEL    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009518,ENV MICROBIO      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009519,INDUSTRIAL ECOLOGY,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,3 - 13 FEB 2014     ,17 - 21 FEB 2014    ,24 - 28 FEB 2014    ,40 ,16/01/2559 20:00
2009520,ENV POL LAW/ECON  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,25 - 29 NOV 2013    ,2 - 20 DEC 2013     ,                    ,60 ,16/01/2559 20:00
2009521,FATE/TSPT CON POLL,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,28 OCT - 1 NOV 2013 ,4 - 15 NOV 2013     ,18 - 22 NOV 2013    ,60 ,16/01/2559 20:00
2009525,ENV MGT/MOD WATSHD,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2009527,ENV NANOTECH      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2009529,SEMINAR II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,14 ,16/01/2559 20:00
2009702,ADV SEM II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,DEC 2013 - MAR 2014 ,                    ,                    ,60 ,16/01/2559 20:00
2009703,DOC SEM I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009704,DOC SEM II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2009705,DOC SEM III       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2009811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,IN2ER,AR   ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
2009826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,IN2ER,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2009828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2009894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2009897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,IN2ER,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2010513,RES ENG APP LING  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,MCS  ,40110,NPR                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010611,ENG SYNTAX        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,40110,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010613,ENG SEMAN/PRAG    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,401/8,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010630,QUAN RES LANGAS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MCS  ,40110,JWG                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010631,QUAL RES LANGAS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MCS  ,401/4,PWS                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010719,IND STUDY ENG LING,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010729,IND STUDY EL INS  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010732,LANGAS ESP        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MCS  ,401/6,CPS                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010733,APP TECH LANGAS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,504  ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010739,IND STUDY LANGAS  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010741,DIR READ ENG LING ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010742,DIR RES ENG LING  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010751,DIR READ EL INS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010752,DIR RES EL INS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010752,DIR RES EL INS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010752,DIR RES EL INS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,CGB                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010752,DIR RES EL INS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,SCK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010752,DIR RES EL INS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,ACN                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010761,DIR READ LANGAS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2010762,DIR RES LANGAS    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2010811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2010828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2010894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
2010896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2010897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2011702,SEMINAR II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,SMNA ,FR,  ,  ,  ,  ,  ,  ,1000-1100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2011703,BSC APPL IMMUNOL  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,BSCAPPIMMUNOL       ,                    ,                    ,40 ,16/01/2559 20:00
2011703,BSC APPL IMMUNOL  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2011828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2011894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,1012 ,ANV                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2011897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,1012 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2012502,PRACT SEX COUN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1400,IN2ER,AR   ,USK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2012502,PRACT SEX COUN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,USK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2012603,PERSP SEX         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST2,517  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2012604,RES METHOD STAT   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST2,517  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2012701,SEM SELT SEX      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST2,517  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2012811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2013502,STRA LSA/PLAN     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,301  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2013503,URB LOG PLAN      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,301  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2013604,ADV SC/LOG ANAL   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2013604,ADV SC/LOG ANAL   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2013605,ADV DATA ANAL     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2013605,ADV DATA ANAL     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2013607,SELECT TOPIC SCM  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2013608,SUP CHAIN OPN MGT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,301  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2013700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,301  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2013701,SPECIAL PROJECT II,3  ,2013700 CONCUR 2310700                                                          ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2013811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2013826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2013894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2013896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,301  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2013897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,302  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2015700,SPECIAL RESEARCH  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015706,MOD SEA COL NA DEM,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CHALE,411  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2015710,RES METHOD SEA    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CHALE,411  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2015721,URBAN SEA         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PRAJ7,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015731,LIT SOC SEA       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MCS  ,501/5,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015736,ISLAM SEA         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CHALE,411  ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
2015748,SEM SEA           ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015750,INDIV STUD        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015751,DIR READ SEA      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015752,SPEC TOP SEA      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CHALE,411  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2015896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2016503,HU/SOC RES METH I ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,VSID4,AR   ,ULN                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016503,HU/SOC RES METH I ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,ULN                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016504,HU/SOC RES METH II,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VSID3,317  ,PLN                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2016504,HU/SOC RES METH II,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,PLN                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2016543,PRAC HU/SOC ASIA  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PRAJ7,701/3,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016543,PRAC HU/SOC ASIA  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016549,GOV CIVIL SOC DEV ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VSID3,404  ,SJP                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016550,SEM RO BUD TH SOC ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,VSID4,AR   ,PLN                          ,SEMROBUDTHASOC      ,                    ,                    ,25 ,16/01/2559 20:00
2016551,COOP INT DEV ASIA ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PRAJ7,701/3,ASY                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016612,URB DEV PLANNING  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,VSID4,404  ,SUT                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016618,SEMINAR DEV THEO  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,VSID4,404  ,ULN,SCN                      ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016619,INT MIGR DEV      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,PRAJ7,701/3,PVS                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016701,IND STUDY I       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2016811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2017732,TRG DENT SCI I    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,DEN15,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2017733,ANAL TECH DBS     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,816  ,STAFF                        ,                    ,                    ,                    ,8  ,16/01/2559 20:00
2017734,LAB TRG DBS       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,815  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017802,BIOCOMP DENT MAT  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,DEN15,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017804,SEM DENT BIOMAT II,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,0800-1000,DEN15,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
