3000523,OPHTHALMOLOGY     ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHUMP,IA   ,STAFF                        ,5MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHUMP,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,5MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,5MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,5MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000525,OTOLARYNGOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,5MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,5MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,5MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,5MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000527,REHAB MED         ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,5MED (CHULA)        ,                    ,                    ,250,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,250,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,5MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,5MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,5MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000529,FOUND CLIN CLERK  ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000601,CLIN EXP I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,250,16/01/2559 20:00
3000602,CLIN EXP II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,250,16/01/2559 20:00
3000603,CLIN EXP III      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,250,16/01/2559 20:00
3000604,RES EXP I         ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,1  ,16/01/2559 20:00
3000608,EMERGENCY MEDICINE,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,2  ,16/01/2559 20:00
3000608,EMERGENCY MEDICINE,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,22 ,16/01/2559 20:00
3000609,CLIN EXP IV       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,250,16/01/2559 20:00
3000616,RES EXP IV        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,OTHER,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,1  ,16/01/2559 20:00
3000617,RES WRIT          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,1  ,16/01/2559 20:00
3000618,INDIV STUD MED    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,1  ,16/01/2559 20:00
3000619,CLIN EXP V        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,200,16/01/2559 20:00
3000629,CLIN EXP VI       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,6MED (SELECTIVE)    ,                    ,                    ,200,16/01/2559 20:00
3000630,CLIN EXP VII      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,MED6(SELECTIVE)     ,                    ,                    ,100,16/01/2559 20:00
3000631,CLIN EXP VIII     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,MED6 (SELECTIVE)    ,                    ,                    ,100,16/01/2559 20:00
3000662,CLIN AVIAT MED    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,26 ,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000685,SKIL MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,3  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000686,CLIN MED II       ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000687,SKIL SURG II      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SIRIN,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000688,CLIN SURG II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000689,SKIL ORTHO        ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHARO,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000690,CLIN ORTHO        ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMLBOLHOSP) ,                    ,                    ,50 ,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000691,SKIL OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,NIGHT,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000692,CLIN OB/GYN II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000693,SKIL PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,6MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000694,CLIN PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000694,CLIN PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000694,CLIN PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,6MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000694,CLIN PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,6MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000694,CLIN PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,6MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
