3700104,INT HC NEW GEN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,200,16/01/2559 20:00
3743316,FOOD SAFETY LAB   ,1  ,CONCUR 3743315                                                                  ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3302 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743317,FD SERV/MGT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743317,FD SERV/MGT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,CUP3A,3302 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743318,CLIN NUTR I       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1100,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743319,THER DIET I       ,2  ,3743204 CONCUR 3743318                                                          ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1000,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743320,COM NUTR          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743406,INTERN NUTR/DITES ,5  ,3743403 3743405                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00,16/01/2559 20:00
3743409,FLD COM NUTR      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,TH,  ,  ,  ,  ,  ,  ,1500-1700,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743409,FLD COM NUTR      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743412,INTERN MNT        ,6  ,37434033743405                                                                 ,          ,         ,          ,TDF      ,1  ,CLIN ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00,16/01/2559 20:00
3743414,INTERN FD SERV MGT,4  ,3743305/3743306                                                                 ,          ,         ,          ,TDF      ,1  ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3743417,FD NUTR BUS       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1000,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743420,FD UPDATE NUTR    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743422,WEIGHT CONTROL    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,200,16/01/2559 20:00
3743422,WEIGHT CONTROL    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,301  ,STAFF                        ,GENED-SC            ,                    ,                    ,100,16/01/2559 20:00
3743504,SEM FD NUTR II    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743506,SEM FD NUTR IV    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743507,NUTR GENOM        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743508,ADV NUTR MET      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743510,FD PROD DEV HLTH  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3202 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743510,FD PROD DEV HLTH  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3202 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743511,ADV NUTR SP FIT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743513,ADV CLIN NUTR I   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743514,ADV CLIN NUTR II  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743515,NUTR COUN         ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743516,PHARMACONUTRITION ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743517,IND STUD          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3744505,LAB QUAL MGT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744506,GRANT PROPOS WRIT ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1100-1200,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744507,SEMINAR I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,FR,  ,  ,  ,  ,  ,  ,1300-1400,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744508,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,TH,  ,  ,  ,  ,  ,  ,1300-1600,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744508,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744510,ADV MOL BIO       ,2  ,3744503                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744513,BIOINFORMATICS    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744513,BIOINFORMATICS    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744516,LAB QUAL MGT      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3744826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3744897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3745502,ADV HEMATO        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745503,HEMATOPATHOLOGY   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745504,ADV TECH HEMATO   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745505,SEMINAR I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TU,  ,  ,  ,  ,  ,  ,1500-1600,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745507,CURR TOP HEMATO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,MO,  ,  ,  ,  ,  ,  ,1300-1400,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745507,CURR TOP HEMATO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,1400-1500,CUP4A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3745811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP4A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746501,MOL TECH MICR IMMU,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1000-1200,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746501,MOL TECH MICR IMMU,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,SA,  ,  ,  ,  ,  ,  ,1300-1600,CUP1A,1414 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746504,INF HLTH SCI RES  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SU,  ,  ,  ,  ,  ,  ,0800-0900,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746504,INF HLTH SCI RES  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,SU,  ,  ,  ,  ,  ,  ,0900-1600,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746505,GRANT THESIS WRIT ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0900,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746506,ADV CLIN MICRO    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1500,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746507,ADV CLIN IMMUNO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1500,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746508,CLIN IMMUNOHEMA   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP1A,1414 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746510,MOL BACT          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1500,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746511,SPEC TOP MICR IMMU,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746512,INDIVIDUAL STUDY  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,SA,  ,  ,  ,  ,  ,  ,1300-1500,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746512,INDIVIDUAL STUDY  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746513,SEMINAR I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,SA,  ,  ,  ,  ,  ,  ,1500-1600,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3746515,BSC APPL CELL TECH,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,CUP1A,1400 ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
3746812,THESIS            ,16 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
