3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200501,INT CLIN SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,3  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,10 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,11 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,12 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,13 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,14 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,15 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,16 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,17 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,18 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,19 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,20 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,21 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,22 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,23 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,24 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,25 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,26 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,27 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,28 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,29 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,30 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,31 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,32 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,33 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,34 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,35 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,36 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,37 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,38 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,39 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,40 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,41 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,42 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,43 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,44 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,45 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,46 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,47 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,48 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,49 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,50 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,51 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,52 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,53 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,54 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,55 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,56 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,57 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,58 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,59 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,60 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,61 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,62 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,63 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,64 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,65 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,66 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,67 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,68 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,69 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,70 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200502,DENT RES PROJ     ,1  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3200504,BIOSTATISTICS     ,2  ,COREQ 3200503 C.F.                                                              ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00,16/01/2559 20:00
3200506,GERIATRIC DENT    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200507,APP CRANIO DIS    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,DEN16,211  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200603,DENT CLIN EXP I   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,508  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200712,BIOMED SC II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,DEN14,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3200712,BIOMED SC II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,814  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200716,PROF ETHICS       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,822  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3200741,SEM ORAL BIO I    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,1000-1200,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200742,SEM ORAL BIO II   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,1000-1200,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200743,ADV ORAL BIO      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200743,ADV ORAL BIO      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200744,ORAL BIO LAB TRG  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,706  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200745,ANAL RDG I        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TU,  ,  ,  ,  ,  ,  ,1300-1500,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200746,ANAL RDG II       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TU,  ,  ,  ,  ,  ,  ,1300-1500,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200747,PROG ORAL BIO     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200748,BIOMED RES INST   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200749,BONE BIOLOGY      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1000,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200750,BIO TOOTH PERIO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200751,CANCER BIOLOGY    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200752,PHYSIO NEURO PAIN ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200753,BIO ECM           ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200755,ADV ORAL BIO RES  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,WE,  ,  ,  ,  ,  ,  ,0800-0900,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3200757,IND ORAL BIO      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200759,OBIO LAB II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,706  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200760,ACAD WRITING      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200800,MASTER THESIS SEM ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3200811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA00  ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3200816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3200828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA00  ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3200829,DISSERTATION      ,60 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN14,705  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
