3100507,VET SOC           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,OCS                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3106724,SEM CLIN SCI I    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106725,SEM CLIN SCI II   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106726,CLIN DIAG IMAGE I ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106727,CLIN DIAG IMAG II ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106728,CLIN DIAG IMAG III,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3106730,CLIN ANESTH I     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106733,CLIN DENT I       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106734,CLIN DENT II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106741,GEN SURG CLIN I   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106742,GEN SURG CLIN II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106744,CLIN ORTHOP I     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106745,CLIN ORTHOP II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3106811,THESIS            ,12 ,31067003106701                                                                 ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-      ,VET2 ,108  ,STAFF                        ,VET                 ,                    ,                    ,15 ,16/01/2559 20:00,16/01/2559 20:00
3107201,BIOSTATISTICS     ,3  ,                                                                                ,          ,         ,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-1000,VET6 ,202  ,ATS,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3107201,BIOSTATISTICS     ,3  ,                                                                                ,          ,         ,04/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1100,VET6 ,202  ,ATS,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3107201,BIOSTATISTICS     ,3  ,                                                                                ,          ,         ,04/05/2559,0830-1130,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-1000,VET6 ,202  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107201,BIOSTATISTICS     ,3  ,                                                                                ,          ,         ,04/05/2559,0830-1130,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1100,VET6 ,202  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107517,VET COMM          ,2  ,3144302                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,CTR                          ,VET                 ,                    ,                    ,20 ,16/01/2559 20:00
3107517,VET COMM          ,2  ,3144302                                                                         ,          ,         ,          ,TDF      ,1  ,DISC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,CTR                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3107705,WAT SEDI QUAL MGT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107705,WAT SEDI QUAL MGT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3107706,SPEC AQU ANI DIS  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107706,SPEC AQU ANI DIS  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107708,AQU ANI PATHOL    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107708,AQU ANI PATHOL    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3107710,AQU ANI NUTRI     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107710,AQU ANI NUTRI     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3107712,AQU TOXICOL       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3107721,AVIAN MICRO DIS   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107721,AVIAN MICRO DIS   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107728,APP AVIAN IMMU    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107730,AVIAN MED EXTERN  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,ATS                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107731,PROB AVIAN DIS PAT,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107736,VET MED SEM I     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107737,VET MED SEM II    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107738,PERSP VET MED     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107739,THESIS PLAN       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107740,AVIAN VIRUS DIS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107742,DRUG CHEM AQU ANI ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3107744,ADV DTT COMP      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107744,ADV DTT COMP      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107745,ADV SWI MED       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107747,INFEC DIS RUM     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,3  ,16/01/2559 20:00
3107748,MET DIS RUM       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107750,ADV URO DIS COMP  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107751,ADV CAR DIS COMP  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,VET                 ,                    ,                    ,3  ,16/01/2559 20:00
3107752,ADV DERM DIS COMP ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,CTR                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107753,ADV MENDO DIS COMP,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107763,SPEC MED CLIN I   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107764,SPEC MED CLIN II  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107767,ADV SWI PREV MED  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3107768,SWINE CYTOKINES   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3107770,MON SUR SWI DIS   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107771,DRUG CHEM SWI     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,2  ,16/01/2559 20:00
3107772,ADV DG BIO SWI DIS,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107772,ADV DG BIO SWI DIS,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107773,SPEC PROB SWI DIS ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,ANS,STAFF                    ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107773,SPEC PROB SWI DIS ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,ANS,STAFF                    ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3107775,SWINE BIOSECURITY ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SPC,STAFF                    ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3107783,MON SUR BOVINE DIS,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,IA   ,KAJ                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107785,BOVINE MED EXTERN ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107787,SPEC MED CLIN I   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,15 ,16/01/2559 20:00
3107788,SPEC MED CLIN II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,20 ,16/01/2559 20:00
3107789,IND STUD MED      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107791,EMER CRIT CLIN    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3107794,SPEC CLIN PROB II ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107795,AQUA MED EXTERN   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3107795,AQUA MED EXTERN   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3107795,AQUA MED EXTERN   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3107802,VET MED PRAC      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,13 ,16/01/2559 20:00
3107811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,20 ,16/01/2559 20:00
3107816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
3107828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3107894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3107897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3108701,ADV VET OBSTETRICS,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,IA   ,KCR                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3108702,REPRO DIS FARM ANI,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,IA   ,PTR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108704,SEMINAR THERIO    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,PTR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108704,SEMINAR THERIO    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,PTR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108705,REPROD INF DOG CAT,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,VET6 ,IA   ,SSP                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3108712,HERD MAN SWINE    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,WTR                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3108712,HERD MAN SWINE    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,WTR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108713,ANI INFER CLINIC  ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,WTR                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3108714,ADV ANI REPROD BIO,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,IA   ,TTS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3108716,REPRO INF MALE ANI,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,VET6 ,IA   ,WTR                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3108717,OBS GYN CLIN      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,0900-1000,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108717,OBS GYN CLIN      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,MO,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108717,OBS GYN CLIN      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108718,FERTILITY CLINIC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108718,FERTILITY CLINIC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108719,IND STUD THERIO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,VET                 ,                    ,                    ,20 ,16/01/2559 20:00
3108720,REPROD SURG CL I  ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108721,REPROD SURG CL II ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3108722,REPROD DIS DA     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,PTR                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108723,CLIN PROC AR      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,TSU                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108723,CLIN PROC AR      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,TSU                          ,                    ,                    ,                    ,4  ,16/01/2559 20:00
3108724,HERD HLTH MGT FA  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,WTR                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108725,REPROD INFERT MDA ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,NAI                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108726,REPROD INFERT FDA ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,PTN                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108727,REPROD PAT/BM D/C ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SPP                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108728,REPROD PAT/BM FA  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,TSU                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108729,CA INFERT CLIN    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,KCR                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108730,FA INFERT CLIN    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSS                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108731,REPROD SURG CA I  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,TTS                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108732,REPROD SURG CA II ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SSP                          ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3108813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,PTR                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
